time,"P(B0|X4)","P(B1|X3)","P(B1|X4)","P(B2|X4)","P(B0|X6)","P(B1|X6)","P(B2|X6)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
5.000000e-13,2.757924e-07,6.798902e-04,9.004214e-06,9.055282e-06,1.409357e-09,4.684226e-08,4.706926e-08
1.000000e-12,3.708066e-06,4.461383e-03,1.092951e-04,1.106381e-04,3.387786e-08,1.034190e-06,1.044354e-06
1.500000e-12,1.616122e-05,1.098480e-02,4.413752e-04,4.499437e-04,2.405209e-07,6.869157e-06,6.973442e-06
2.000000e-12,3.863507e-05,1.820643e-02,1.018068e-03,1.043767e-03,9.012095e-07,2.459085e-05,2.508630e-05
2.500000e-12,6.237721e-05,2.512316e-02,1.688648e-03,1.735772e-03,2.215314e-06,5.937402e-05,6.080097e-05
3.000000e-12,7.680053e-05,3.176577e-02,2.306273e-03,2.367771e-03,3.992135e-06,1.089966e-04,1.118553e-04
3.500000e-12,8.074510e-05,3.835877e-02,2.835571e-03,2.900432e-03,5.667956e-06,1.646859e-04,1.690241e-04
4.000000e-12,8.334702e-05,4.499524e-02,3.313859e-03,3.378413e-03,6.764055e-06,2.176949e-04,2.230395e-04
4.500000e-12,9.397238e-05,5.169392e-02,3.776690e-03,3.847367e-03,7.337564e-06,2.645547e-04,2.703465e-04
5.000000e-12,1.126892e-04,5.845352e-02,4.233072e-03,4.318735e-03,7.913500e-06,3.067595e-04,3.128755e-04
5.500000e-12,1.310155e-04,6.525137e-02,4.679105e-03,4.781596e-03,8.944202e-06,3.471234e-04,3.539459e-04
6.000000e-12,1.412018e-04,7.205777e-02,5.111303e-03,5.223884e-03,1.036202e-05,3.870684e-04,3.950421e-04
6.500000e-12,1.439214e-04,7.886203e-02,5.527863e-03,5.642415e-03,1.168136e-05,4.264164e-04,4.355696e-04
7.000000e-12,1.468398e-04,8.567433e-02,5.926573e-03,6.041505e-03,1.251566e-05,4.644731e-04,4.743915e-04
7.500000e-12,1.563384e-04,9.250734e-02,6.305815e-03,6.426741e-03,1.295796e-05,5.008467e-04,5.110938e-04
8.000000e-12,1.712775e-04,9.936379e-02,6.666886e-03,6.800074e-03,1.345097e-05,5.355489e-04,5.460767e-04
8.500000e-12,1.848381e-04,1.062389e-01,7.013834e-03,7.159603e-03,1.431649e-05,5.687548e-04,5.798936e-04
9.000000e-12,1.918686e-04,1.131283e-01,7.350395e-03,7.503074e-03,1.544415e-05,6.006281e-04,6.126980e-04
9.500000e-12,1.938954e-04,1.200312e-01,7.677107e-03,7.830994e-03,1.643914e-05,6.312900e-04,6.442565e-04
1.000000e-11,1.970000e-04,1.269490e-01,7.991503e-03,8.146322e-03,1.704318e-05,6.608316e-04,6.743459e-04
1.050000e-11,2.053348e-04,1.338832e-01,8.291160e-03,8.451607e-03,1.738364e-05,6.893009e-04,7.030536e-04
1.100000e-11,2.171586e-04,1.408339e-01,8.576530e-03,8.746893e-03,1.781479e-05,7.166925e-04,7.306993e-04
1.150000e-11,2.271296e-04,1.478006e-01,8.850763e-03,9.030457e-03,1.854437e-05,7.429839e-04,7.575220e-04
1.200000e-11,2.319895e-04,1.547826e-01,9.116886e-03,9.301275e-03,1.943826e-05,7.681955e-04,7.834836e-04
1.250000e-11,2.336433e-04,1.617797e-01,9.375297e-03,9.560505e-03,2.018467e-05,7.924145e-04,8.083789e-04
1.300000e-11,2.367919e-04,1.687923e-01,9.624048e-03,9.810578e-03,2.062316e-05,8.157519e-04,8.321067e-04
1.350000e-11,2.439836e-04,1.758208e-01,9.861412e-03,1.005306e-02,2.089414e-05,8.382730e-04,8.548077e-04
1.400000e-11,2.532716e-04,1.828653e-01,1.008799e-02,1.028757e-02,2.127375e-05,8.599752e-04,8.767428e-04
1.450000e-11,2.605823e-04,1.899258e-01,1.030630e-02,1.051276e-02,2.188600e-05,8.808316e-04,8.980578e-04
1.500000e-11,2.639948e-04,1.970020e-01,1.051848e-02,1.072814e-02,2.259180e-05,9.008562e-04,9.186829e-04
1.550000e-11,2.654741e-04,2.040941e-01,1.072455e-02,1.093488e-02,2.315137e-05,9.201221e-04,9.384571e-04
1.600000e-11,2.685581e-04,2.112023e-01,1.092294e-02,1.113484e-02,2.347439e-05,9.387176e-04,9.573329e-04
1.650000e-11,2.746821e-04,2.183269e-01,1.111256e-02,1.132900e-02,2.369899e-05,9.566885e-04,9.754472e-04
1.700000e-11,2.819430e-04,2.254682e-01,1.129414e-02,1.151687e-02,2.403470e-05,9.740265e-04,9.930001e-04
1.750000e-11,2.873161e-04,2.326261e-01,1.146968e-02,1.169747e-02,2.454668e-05,9.907119e-04,1.010079e-03
1.800000e-11,2.897916e-04,2.398009e-01,1.164062e-02,1.187064e-02,2.510302e-05,1.006764e-03,1.026609e-03
1.850000e-11,2.912067e-04,2.469925e-01,1.180675e-02,1.203742e-02,2.552437e-05,1.022245e-03,1.042473e-03
1.900000e-11,2.941542e-04,2.542015e-01,1.196684e-02,1.219920e-02,2.576869e-05,1.037223e-03,1.057656e-03
