time,"P(B1|X1)","P(B1|X5)","P(B5|X9)","P(B1|X9)","P(B1|X6)","P(B1|X8)","P(B2|X9)","P(B3|X9)","P(B4|X9)","P(B6|X9)","P(B1|X12)"
0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.000000e-13,2.889860e-05,3.024227e-05,2.863658e-05,-5.753785e-07,2.889861e-05,3.021869e-05,3.037606e-05,5.758864e-05,2.243400e-05,2.614884e-05,2.889268e-05
4.000000e-13,1.609685e-04,1.689635e-04,1.592161e-04,-4.342534e-06,1.609685e-04,1.688335e-04,1.683369e-04,2.870377e-04,1.146612e-04,1.457751e-04,1.611548e-04
6.000000e-13,5.125714e-04,5.400665e-04,5.066000e-04,-1.730203e-05,5.125715e-04,5.396594e-04,5.345900e-04,8.261287e-04,3.395635e-04,4.650424e-04,5.139847e-04
8.000000e-13,1.226051e-03,1.297748e-03,1.212005e-03,-4.962684e-05,1.226052e-03,1.296798e-03,1.277935e-03,1.804834e-03,7.659143e-04,1.115436e-03,1.231731e-03
1.000000e-12,2.448992e-03,2.606274e-03,2.423543e-03,-1.159309e-04,2.448993e-03,2.604440e-03,2.555572e-03,3.326492e-03,1.462217e-03,2.236132e-03,2.465711e-03
1.200000e-12,4.314440e-03,4.620389e-03,4.277705e-03,-2.350779e-04,4.314441e-03,4.617303e-03,4.514068e-03,5.459585e-03,2.493239e-03,3.956961e-03,4.354934e-03
1.400000e-12,6.925105e-03,7.469178e-03,6.884517e-03,-4.294815e-04,6.925109e-03,7.464523e-03,7.273542e-03,8.236106e-03,3.917673e-03,6.384479e-03,7.010682e-03
1.600000e-12,1.034279e-02,1.124453e-02,1.031749e-02,-7.238156e-04,1.034280e-02,1.123813e-02,1.091622e-02,1.165371e-02,5.785848e-03,9.592153e-03,1.050612e-02
1.800000e-12,1.458323e-02,1.599433e-02,1.460851e-02,-1.143128e-03,1.458324e-02,1.598624e-02,1.547969e-02,1.568006e-02,8.137077e-03,1.361487e-02,1.487104e-02
2.000000e-12,1.961589e-02,2.172003e-02,1.974716e-02,-1.710483e-03,1.961591e-02,2.171068e-02,2.095459e-02,2.025850e-02,1.099667e-02,1.844743e-02,2.009133e-02
2.200000e-12,2.536807e-02,2.837811e-02,2.568381e-02,-2.444368e-03,2.536811e-02,2.836833e-02,2.728642e-02,2.531427e-02,1.437291e-02,2.404653e-02,2.611237e-02
2.400000e-12,3.173214e-02,3.588451e-02,3.233548e-02,-3.356216e-03,3.173220e-02,3.587562e-02,3.438066e-02,3.076078e-02,1.825453e-02,3.033538e-02,3.284531e-02
2.600000e-12,3.857510e-02,4.412157e-02,3.959354e-02,-4.448373e-03,3.857520e-02,4.411538e-02,4.211050e-02,3.650561e-02,2.260905e-02,3.721038e-02,4.017551e-02
2.800000e-12,4.574925e-02,5.294647e-02,4.733223e-02,-5.712846e-03,4.574940e-02,5.294523e-02,5.032635e-02,4.245571e-02,2.738264e-02,4.454895e-02,4.797184e-02
3.000000e-12,5.310304e-02,6.220060e-02,5.541726e-02,-7.131046e-03,5.310326e-02,6.220687e-02,5.886617e-02,4.852180e-02,3.250153e-02,5.221777e-02,5.609630e-02
3.200000e-12,6.049123e-02,7.171907e-02,6.371385e-02,-8.674622e-03,6.049156e-02,7.173556e-02,6.756597e-02,5.462173e-02,3.787530e-02,6.008099e-02,6.441293e-02
3.400000e-12,6.778367e-02,8.133989e-02,7.209352e-02,-1.030734e-02,6.778413e-02,8.136917e-02,7.626954e-02,6.068291e-02,4.340175e-02,6.800761e-02,7.279568e-02
3.600000e-12,7.487217e-02,9.091219e-02,8.043962e-02,-1.198783e-02,7.487281e-02,9.095641e-02,8.483698e-02,6.664386e-02,4.897300e-02,7.587789e-02,8.113454e-02
3.800000e-12,8.167515e-02,1.003031e-01,8.865132e-02,-1.367290e-02,8.167602e-02,1.003637e-01,9.315142e-02,7.245489e-02,5.448235e-02,8.358840e-02,8.934003e-02
