time,"P(B5|X9)","P(B1|X9)","P(B3|X9)","P(B2|X11)","P(B1|X12)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.000000e-13,2.863658e-05,-5.753785e-07,5.758864e-05,3.033628e-05,2.889268e-05
4.000000e-13,1.592161e-04,-4.342534e-06,2.870377e-04,1.694379e-04,1.611548e-04
6.000000e-13,5.066000e-04,-1.730203e-05,8.261287e-04,5.413783e-04,5.139847e-04
8.000000e-13,1.212005e-03,-4.962684e-05,1.804834e-03,1.300298e-03,1.231731e-03
1.000000e-12,2.423543e-03,-1.159309e-04,3.326492e-03,2.609951e-03,2.465711e-03
1.200000e-12,4.277705e-03,-2.350779e-04,5.459585e-03,4.623908e-03,4.354934e-03
1.400000e-12,6.884517e-03,-4.294815e-04,8.236106e-03,7.469289e-03,7.010682e-03
1.600000e-12,1.031749e-02,-7.238156e-04,1.165371e-02,1.123519e-02,1.050612e-02
1.800000e-12,1.460851e-02,-1.143128e-03,1.568006e-02,1.596592e-02,1.487104e-02
2.000000e-12,1.974716e-02,-1.710483e-03,2.025850e-02,2.165883e-02,2.009133e-02
2.200000e-12,2.568381e-02,-2.444368e-03,2.531427e-02,2.826596e-02,2.611237e-02
2.400000e-12,3.233548e-02,-3.356216e-03,3.076078e-02,3.569894e-02,3.284531e-02
2.600000e-12,3.959354e-02,-4.448373e-03,3.650561e-02,4.383626e-02,4.017551e-02
2.800000e-12,4.733223e-02,-5.712846e-03,4.245571e-02,5.253222e-02,4.797184e-02
3.000000e-12,5.541726e-02,-7.131046e-03,4.852180e-02,6.162664e-02,5.609630e-02
3.200000e-12,6.371385e-02,-8.674622e-03,5.462173e-02,7.095479e-02,6.441293e-02
3.400000e-12,7.209352e-02,-1.030734e-02,6.068291e-02,8.035670e-02,7.279568e-02
3.600000e-12,8.043962e-02,-1.198783e-02,6.664386e-02,8.968560e-02,8.113454e-02
3.800000e-12,8.865132e-02,-1.367290e-02,7.245489e-02,9.881472e-02,8.934003e-02
