time,"P(B1|X3)","P(B1|X6)","P(B2|X6)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.000000e-13,5.250670e-05,1.582349e-09,1.586241e-09
4.000000e-13,3.582482e-04,1.889476e-08,1.896992e-08
6.000000e-13,1.141873e-03,1.019614e-07,1.025497e-07
8.000000e-13,2.516613e-03,3.683504e-07,3.712025e-07
1.000000e-12,4.461383e-03,1.034190e-06,1.044354e-06
1.200000e-12,6.862004e-03,2.430688e-06,2.459782e-06
1.400000e-12,9.565939e-03,4.994190e-06,5.064701e-06
1.600000e-12,1.242676e-02,9.225099e-06,9.374813e-06
1.800000e-12,1.533077e-02,1.562016e-05,1.590529e-05
2.000000e-12,1.820643e-02,2.459085e-05,2.508630e-05
2.200000e-12,2.102092e-02,3.638573e-05,3.718143e-05
2.400000e-12,2.376986e-02,5.103501e-05,5.222788e-05
2.600000e-12,2.646520e-02,6.833055e-05,7.001315e-05
2.800000e-12,2.912484e-02,8.784659e-05,9.009420e-05
3.000000e-12,3.176577e-02,1.089966e-04,1.118553e-04
3.200000e-12,3.440078e-02,1.311141e-04,1.345927e-04
3.400000e-12,3.703794e-02,1.535406e-04,1.576078e-04
3.600000e-12,3.968154e-02,1.757041e-04,1.802930e-04
3.800000e-12,4.233365e-02,1.971754e-04,2.021936e-04
4.000000e-12,4.499524e-02,2.176949e-04,2.230395e-04
4.200000e-12,4.766691e-02,2.371697e-04,2.427446e-04
4.400000e-12,5.034899e-02,2.556471e-04,2.613782e-04
4.600000e-12,5.304138e-02,2.732725e-04,2.791198e-04
4.800000e-12,5.574336e-02,2.902421e-04,2.962050e-04
5.000000e-12,5.845352e-02,3.067595e-04,3.128755e-04
5.200000e-12,6.116990e-02,3.230022e-04,3.293383e-04
5.400000e-12,6.389031e-02,3.391014e-04,3.457406e-04
5.600000e-12,6.661269e-02,3.551342e-04,3.621597e-04
5.800000e-12,6.933547e-02,3.711274e-04,3.786071e-04
6.000000e-12,7.205777e-02,3.870684e-04,3.950421e-04
6.200000e-12,7.477947e-02,4.029189e-04,4.113914e-04
6.400000e-12,7.750103e-02,4.186293e-04,4.275699e-04
6.600000e-12,8.022335e-02,4.341504e-04,4.434982e-04
6.800000e-12,8.294747e-02,4.494412e-04,4.591166e-04
7.000000e-12,8.567433e-02,4.644731e-04,4.743915e-04
7.200000e-12,8.840464e-02,4.792307e-04,4.893169e-04
7.400000e-12,9.113880e-02,4.937101e-04,5.039108e-04
7.600000e-12,9.387686e-02,5.079160e-04,5.182075e-04
7.800000e-12,9.661864e-02,5.218582e-04,5.322491e-04
8.000000e-12,9.936379e-02,5.355489e-04,5.460767e-04
8.200000e-12,1.021119e-01,5.490005e-04,5.597231e-04
8.400000e-12,1.048627e-01,5.622247e-04,5.732087e-04
8.600000e-12,1.076158e-01,5.752317e-04,5.865394e-04
8.800000e-12,1.103710e-01,5.880302e-04,5.997080e-04
9.000000e-12,1.131283e-01,6.006281e-04,6.126980e-04
9.200000e-12,1.158878e-01,6.130324e-04,6.254884e-04
9.400000e-12,1.186495e-01,6.252497e-04,6.380588e-04
9.600000e-12,1.214135e-01,6.372856e-04,6.503943e-04
9.800000e-12,1.241800e-01,6.491451e-04,6.624888e-04
1.000000e-11,1.269490e-01,6.608316e-04,6.743459e-04
1.020000e-11,1.297207e-01,6.723473e-04,6.859790e-04
1.040000e-11,1.324950e-01,6.836924e-04,6.974082e-04
1.060000e-11,1.352720e-01,6.948663e-04,7.086568e-04
1.080000e-11,1.380517e-01,7.058670e-04,7.197477e-04
1.100000e-11,1.408339e-01,7.166925e-04,7.306993e-04
1.120000e-11,1.436187e-01,7.273415e-04,7.415229e-04
1.140000e-11,1.464060e-01,7.378137e-04,7.522212e-04
1.160000e-11,1.491958e-01,7.481107e-04,7.627890e-04
1.180000e-11,1.519880e-01,7.582361e-04,7.732148e-04
1.200000e-11,1.547826e-01,7.681955e-04,7.834836e-04
1.220000e-11,1.575796e-01,7.779957e-04,7.935803e-04
1.240000e-11,1.603790e-01,7.876446e-04,8.034934e-04
1.260000e-11,1.631810e-01,7.971494e-04,8.132169e-04
1.280000e-11,1.659854e-01,8.065169e-04,8.227518e-04
1.300000e-11,1.687923e-01,8.157519e-04,8.321067e-04
1.320000e-11,1.716018e-01,8.248571e-04,8.412958e-04
1.340000e-11,1.744138e-01,8.338334e-04,8.503368e-04
1.360000e-11,1.772284e-01,8.426800e-04,8.592483e-04
1.380000e-11,1.800456e-01,8.513946e-04,8.680464e-04
1.400000e-11,1.828653e-01,8.599752e-04,8.767428e-04
1.420000e-11,1.856876e-01,8.684199e-04,8.853427e-04
1.440000e-11,1.885124e-01,8.767282e-04,8.938451e-04
1.460000e-11,1.913398e-01,8.849014e-04,9.022432e-04
1.480000e-11,1.941696e-01,8.929425e-04,9.105265e-04
1.500000e-11,1.970020e-01,9.008562e-04,9.186829e-04
1.520000e-11,1.998369e-01,9.086483e-04,9.267016e-04
1.540000e-11,2.026744e-01,9.163251e-04,9.345754e-04
1.560000e-11,2.055144e-01,9.238925e-04,9.423021e-04
1.580000e-11,2.083570e-01,9.313555e-04,9.498850e-04
1.600000e-11,2.112023e-01,9.387176e-04,9.573329e-04
1.620000e-11,2.140501e-01,9.459804e-04,9.646581e-04
1.640000e-11,2.169006e-01,9.531441e-04,9.718750e-04
1.660000e-11,2.197538e-01,9.602075e-04,9.789974e-04
1.680000e-11,2.226097e-01,9.671689e-04,9.860368e-04
1.700000e-11,2.254682e-01,9.740265e-04,9.930001e-04
1.720000e-11,2.283294e-01,9.807791e-04,9.998897e-04
1.740000e-11,2.311932e-01,9.874269e-04,1.006703e-03
1.760000e-11,2.340597e-01,9.939714e-04,1.013433e-03
1.780000e-11,2.369290e-01,1.000416e-03,1.020072e-03
1.800000e-11,2.398009e-01,1.006764e-03,1.026609e-03
1.820000e-11,2.426755e-01,1.013020e-03,1.033039e-03
1.840000e-11,2.455528e-01,1.019191e-03,1.039356e-03
